antnum, time, total, min, max
10,2322,1778,153,242,
10,2141,1625,123,235,
10,2289,1788,160,199,
10,2250,1730,145,225,
20,1174,1618,61,99,
20,1231,1860,67,131,
20,1251,1835,70,132,
20,1218,1771,66,120,
30,682,1540,36,89,
30,811,1685,42,68,
30,715,1614,38,88,
30,736,1613,38,81,
40,697,2115,38,77,
40,585,1668,31,61,
40,633,1872,31,80,
40,638,1885,33,72,
50,481,1706,21,49,
50,454,1427,13,48,
50,464,1518,20,54,
50,466,1550,18,50,
60,545,1865,19,60,
60,461,1738,16,51,
60,456,2060,20,58,
60,487,1887,18,56,
70,444,1880,14,45,
70,410,1810,14,45,
70,388,1595,14,50,
70,414,1761,14,46,
80,385,1658,10,40,
80,321,1417,7,30,
80,349,1582,8,46,
80,351,1552,8,38,
90,375,1840,8,36,
90,316,1491,4,32,
90,287,1360,6,28,
90,326,1563,6,32,
100,335,1868,5,41,
100,328,1894,12,31,
100,268,1735,7,40,
100,310,1832,8,37,